,latent_vector,label,filename
93,"[0.11281872, -2.4369378, 2.6084287, 0.6005767, 0.44104025, 2.5141935, -1.894306, -1.4004569, 0.760146, -2.007528]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_113.nc
94,"[-0.736389, 0.65649056, -1.0926323, -0.93160737, 0.032875597, -1.1462717, 0.90446186, 0.8208631, 0.7650926, 0.5121845]",0,../data/subset-copy/eastpac2_goes16_2017_331_1900_191.nc
95,"[-0.021943063, -0.25283366, -0.07598872, -0.6449728, 1.1059265, -0.061180055, 0.7586056, -0.18391225, 0.70439, 0.543272]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_183.nc
96,"[1.3489838, -1.6737121, 1.0141428, -0.962721, 1.6368923, 0.36804, 0.523726, -1.4423444, 1.6177167, -0.31797057]",2,../data/subset-copy/eastpac2_goes16_2017_331_1900_246.nc
97,"[0.4326024, 1.400935, -0.20669073, 0.8298722, -0.48267686, -0.14829937, -0.6389038, 1.490208, -2.6929958, -1.9501437]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_028.nc
98,"[-0.72703266, -0.42106587, 0.23967046, -0.6356014, 1.037485, 0.34181643, 0.7260102, -0.6824409, 0.9034578, 0.49055985]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_059.nc
99,"[2.460791, 0.14879307, 0.8032285, 0.46482265, 1.0441041, 0.57535803, -0.118130445, -0.61901593, -1.8640538, -1.1825705]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_164.nc
100,"[-0.8732459, 1.1216954, -0.701808, -0.50889426, 0.78782034, -0.52797234, -0.057153285, 1.1502306, -0.055424884, -0.9510299]",3,../data/subset-copy/eastpac2_goes16_2017_331_1900_068.nc
101,"[-1.4560075, -0.932237, 0.3680885, -0.7398452, 0.6110242, 0.39325967, 0.65587884, -0.42022637, 0.53458315, 1.8446217]",4,../data/subset-copy/eastpac2_goes16_2017_331_1900_034.nc
102,"[-2.2106602, -1.0021487, 0.8788645, -0.462797, 1.5146407, 1.2725204, -0.2952553, -0.58164555, 0.83286047, -0.5493089]",8,../data/subset-copy/eastpac2_goes16_2017_331_1900_007.nc
